,Model Year,Make,Model,Vehicle Class,full PRICE (w/o tax),Engine Size (L),Cylinders,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Highway (L/100 km),CO2 Emissions (g/km),CO2 Rating,Fuel CostPerYear,yearly_lease_price,yearly cost,Car,Combined (L/100 km)
0,2020,Acura,ILX,Compact,32696,2.4,4,Z,9.9,7,199,6,2494,5203.56,7697.56,Acura ILX,8.595
1,2020,Acura,MDX SH-AWD,SUV,53096,3.5,6,Z,12.3,9.2,254,4,2610,7923.48,10533.48,Acura MDX SH-AWD,10.905
2,2020,Acura,MDX SH-AWD A-SPEC,SUV,59196,3.5,6,Z,12.2,9.5,258,4,3161,8795.88,11956.88,Acura MDX SH-AWD A-SPEC,10.985
3,2020,Acura,MDX Hybrid AWD,SUV,68696,3,6,Z,9.1,9,210,5,3190,11636.28,14826.28,Acura MDX Hybrid AWD,9.055
4,2020,Acura,RDX AWD,SUV,46196,2,4,Z,11,8.6,232,5,2871,8049.48,10920.48,Acura RDX AWD,9.92
5,2020,Acura,RDX AWD A-SPEC,SUV,52996,2,4,Z,11.3,9.1,241,5,2987,9543.48,12530.48,Acura RDX AWD A-SPEC,10.31
6,2020,Acura,RLX Hybrid,Mid-size,72196,3.5,6,Z,8.4,8.2,196,6,2436,14341.92,16777.92,Acura RLX Hybrid,8.31
7,2020,Acura,TLX A-SPEC,Compact,39196,2.4,4,Z,10.2,7.4,209,5,2581,6006.96,8587.96,Acura TLX A-SPEC,8.94
8,2020,Acura,TLX SH-AWD,Compact,41196,3.5,6,Z,11.4,7.7,228,5,2842,6218.28,9060.28,Acura TLX SH-AWD,9.735
9,2020,Acura,TLX SH-AWD A-SPEC/Limited Edition,Compact,47996,3.5,6,Z,12,8.2,240,5,2987,7267.32,10254.32,Acura TLX SH-AWD A-SPEC/Limited Edition,10.29
10,2020,Audi,A3 Komfort,Compact,34500,2,4,X,8.8,6.5,182,7,2028,5742.84,7770.84,Audi A3 Komfort,7.765
11,2020,Audi,A3 Progressiv,Compact,37900,2,4,X,10.8,8,224,5,2470,6634.32,9104.32,Audi A3 Progressiv,9.54
12,2020,Audi,A3 Technik,Compact,47200,2,4,X,10.8,8,224,5,2470,8433.24,10903.24,Audi A3 Technik,9.54
13,2020,Audi,A4 Komfort,Compact,46200,2,4,Z,10,7.3,205,6,2552,7330.8,9882.8,Audi A4 Komfort,8.785
14,2020,Audi,A4 Technik,Compact,53400,2,4,Z,10,7.4,206,6,2552,8835.84,11387.84,Audi A4 Technik,8.83
15,2020,Audi,A5 quattro,Compact,50100,2,4,Z,10,7.3,205,6,2552,8858.88,11410.88,Audi A5 quattro,8.785
16,2020,Audi,A5 Sportback quattro,Mid-size,50900,2,4,Z,10,7.3,205,6,2552,8998.44,11550.44,Audi A5 Sportback quattro,8.785
17,2020,Audi,Q3 quattro,SUV,38250,2,4,X,12.3,8.6,248,4,2756,8148,10904,Audi Q3 quattro,10.635
18,2020,Audi,Q7 Komfort,SUV,71300,2,4,Z,12.4,10.1,264,4,3277,12296.76,15573.76,Audi Q7 Komfort,11.365
19,2020,Audi,Q7 Progressiv,SUV,75900,3,6,Z,13.8,11.4,296,3,3683,13514.52,17197.52,Audi Q7 Progressiv,12.72
20,2020,BMW,228i xDrive Gran Coupe,Compact,42500,2,4,Z,10.2,7.2,205,6,2552,8844,11396,BMW 228i xDrive Gran Coupe,8.85
21,2020,BMW,230i xDrive Cabriolet,Compact,52754.73,2,4,Z,10.9,7.5,219,5,2465,10092,12557,BMW 230i xDrive Cabriolet,9.37
22,2020,BMW,230i Coupe,Compact,39950,2,4,Z,9.5,7.4,200,6,2726,8556,11282,BMW 230i Coupe,8.555
23,2020,BMW,230i xDrive Coupe,Compact,43750,2,4,Z,10.9,7.5,219,5,2726,10308,13034,BMW 230i xDrive Coupe,9.37
24,2020,BMW,430i xDrive Coupe,Compact,53650,2,4,Z,10.9,7.5,219,5,2726,10944,13670,BMW 430i xDrive Coupe,9.37
25,2020,BMW,430i xDrive Gran Coupe,Compact,53550,2,4,Z,10.9,7.5,219,5,2726,9672,12398,BMW 430i xDrive Gran Coupe,9.37
26,2020,BMW,X1 xDrive28i,SUV,42425,2,4,Z,10.3,7.7,213,5,2639,6924,9563,BMW X1 xDrive28i,9.13
27,2020,BMW,X2 xDrive28i,SUV,43275,2,4,Z,9.9,7.6,207,6,2610,8880,11490,BMW X2 xDrive28i,8.865
28,2020,BMW,X3 xDrive30i,SUV,52550,2,4,Z,10,8.2,215,5,4234,9192,13426,BMW X3 xDrive30i,9.19
29,2020,BMW,X4 xDrive30i,SUV,56300,2,4,Z,10,8.2,215,5,4234,9960,14194,BMW X4 xDrive30i,9.19
30,2020,BMW,X5 xDrive40i,SUV,74900,3,6,Z,11.7,9.1,245,5,3712,13884,17596,BMW X5 xDrive40i,10.53
31,2020,Chevrolet,Spark,Compact,14298,1.4,4,X,7.9,6.2,167,7,1846,3612,5458,Chevrolet Spark,7.135
32,2020,Chevrolet,Spark,Compact,19098,1.4,4,X,8,6.2,170,7,1872,6012,7884,Chevrolet Spark,7.19
33,2020,Ford,EcoSport S,SUV,24149,1,3,X,8.6,8.1,197,6,2184,7380,9564,Ford EcoSport S,8.375
34,2020,Ford,Edge SE,SUV,36299,2,4,X,11.2,8.1,229,5,2548,6360,8908,Ford Edge SE,9.805
35,2020,Ford,Escape,SUV,28549,1.5,3,X,8.6,7.1,185,7,2054,8640,10694,Ford Escape,7.925
36,2020,Ford,Expedition 4X4,SUV,61000,3.5,6,X,14.1,10.6,294,3,3250,17808,21058,Ford Expedition 4X4,12.525
37,2020,Ford,Explorer AWD,SUV,42799,2.3,4,X,11.6,8.7,241,5,2678,12660,15338,Ford Explorer AWD,10.295
38,2020,Ford,Fusion,Mid-size,28485,1.5,4,X,10,7,203,6,2262,5196,7458,Ford Fusion,8.65
39,2020,GMC,Acadia AWD SLE,SUV,40698,2,4,X,11.3,8.7,232,5,2626,10800,13426,GMC Acadia AWD SLE,10.13
40,2020,GMC,Terrain,SUV,31198,1.5,4,X,9.2,7.8,202,6,2236,8412,10648,GMC Terrain,8.57
41,2020,GMC,Terrain AWD SLE,SUV,33598,1.5,4,X,9.5,8.3,210,5,2340,8652,10992,GMC Terrain AWD SLE,8.96
42,2020,GMC,Terrain AWD Denali,SUV,43893,2,4,Z,11.2,9,239,5,2958,10968,13926,GMC Terrain AWD Denali,10.21
43,2020,GMC,Yukon,SUV,57398,5.3,8,X,15.7,10.5,314,3,3484,15672,19156,GMC Yukon,13.36
44,2020,Honda,Accord LX,SUV,30490,1.5,4,X,7.9,6.3,170,7,1872,4146.24,6018.24,Honda Accord LX,7.18
45,2020,Honda,Accord Sport,SUV,32990,1.5,4,X,8.2,6.8,177,7,1976,4582.56,6558.56,Honda Accord Sport,7.57
46,2020,Honda,Accord EX-L,SUV,35890,1.5,4,X,8.9,6.7,185,7,2054,4917.12,6971.12,Honda Accord EX-L,7.91
47,2020,Honda,Accord Sport 2.0,SUV,36190,2,4,X,10.7,7.3,214,5,2392,5247.36,7639.36,Honda Accord Sport 2.0,9.17
48,2020,Honda,Accord Touring,Mid-size,39190,2,4,X,10.4,7.4,211,5,1300,5422.08,6722.08,Honda Accord Touring,9.05
49,2020,Honda,Civic Hatchback LX,SUV,27291,1.5,4,X,7.7,6,162,8,1794,4025.28,5819.28,Honda Civic Hatchback LX,6.935
50,2020,Honda,Civic Hatchback Sport,SUV,29691,1.5,4,X,8,6.2,167,7,1872,4462.56,6334.56,Honda Civic Hatchback Sport,7.19
51,2020,Honda,Civic Hatchback Sport CVT,SUV,30991,1.5,4,Z,8,6.6,172,7,2088,4653.6,6741.6,Honda Civic Hatchback Sport CVT,7.37
52,2020,Honda,Civic Sedan CVT,Mid-size,23901,1.5,4,X,7.8,6.2,165,7,1846,3012.96,4858.96,Honda Civic Sedan CVT,7.08
53,2020,Honda,Civic Sedan EX,Mid-size,26201,2,4,X,7.9,6.1,167,7,1846,3386.4,5232.4,Honda Civic Sedan EX,7.09
54,2020,Honda,Civic Sedan Sport,Mid-size,27301,2,4,X,8.2,6.5,172,7,1924,3526.56,5450.56,Honda Civic Sedan Sport,7.435
55,2020,Honda,Civic Sedan Si,Mid-size,31201,1.5,4,Z,8.9,6.4,183,7,2262,4379.04,6641.04,Honda Civic Sedan Si,7.775
56,2020,Honda,Civic Type R,SUV,45491,2,4,Z,10.5,8.4,223,5,2784,6503.04,9287.04,Honda Civic Type R,9.555
57,2020,Honda,CR-V,SUV,30876,1.5,4,X,8.3,7,180,7,2002,3958.56,5960.56,Honda CR-V,7.715
58,2020,Honda,CR-V AWD,SUV,32926,1.5,4,X,8.7,7.4,189,6,2106,4209.6,6315.6,Honda CR-V AWD,8.115
59,2020,Honda,Fit LX-Honda Sensing,Compact,22891,1.5,4,X,7,5.9,151,8,1690,3435.84,5125.84,Honda Fit LX-Honda Sensing,6.505
60,2020,Honda,Fit SPORT-Honda Sensing,Compact,23891,1.5,4,X,7.6,6.5,166,7,1820,3581.28,5401.28,Honda Fit SPORT-Honda Sensing,7.105
61,2020,Honda,Fit EX,Compact,24891,1.5,4,X,8.1,6.6,174,7,1924,3726.24,5650.24,Honda Fit EX,7.425
62,2020,Honda,HR-V,Compact,26371,1.8,4,X,8.4,7,181,7,2028,3699.84,5727.84,Honda HR-V,7.77
63,2020,Honda,HR-LX-AWD,Compact,28671,1.8,4,X,8.8,7.5,193,6,2132,4055.52,6187.52,Honda HR-LX-AWD,8.215
64,2020,Honda,HR-SPORT,Compact,31671,1.8,4,X,9.1,7.7,200,6,2210,4564.8,6774.8,Honda HR-SPORT,8.47
65,2020,Honda,Passport AWD,SUV,44676,3.5,6,X,12.5,9.8,265,4,2938,6103.2,9041.2,Honda Passport AWD,11.285
66,2020,Honda,Pilot AWD LX,SUV,43261,3.5,6,X,13,9.3,266,4,2860,5557.92,8417.92,Honda Pilot AWD LX,11.335
67,2020,Honda,Pilot AWD EX,SUV,45561,3.5,6,X,12.4,9.3,257,4,2938,5920.32,8858.32,Honda Pilot AWD EX,11.005
68,2020,Hyundai,Accent Preferred,Compact,17899,1.6,4,X,7.3,6,160,8,1742,2684.16,4426.16,Hyundai Accent Preferred,6.715
69,2020,Hyundai,Accent Ultimate IVT,Compact,21649,1.6,4,X,7.8,6.1,168,7,1820,3612,5432,Hyundai Accent Ultimate IVT,7.035
70,2020,Hyundai,Elantra,Mid-size,17275.85,1.6,4,X,8.9,7,192,6,1768,2387.04,4155.04,Hyundai Elantra,8.045
71,2020,Hyundai,Elantra GT,SUV,20749,1.6,4,X,9.7,7.4,205,6,2184,3173.16,5357.16,Hyundai Elantra GT,8.665
72,2020,Hyundai,Kona,SUV,21299,2,4,X,8.6,7,187,7,2054,3173.16,5227.16,Hyundai Kona,7.88
